old_ref,new_name,cdn_url
images/驱动模块应用实验汇总-7b9075aa-f6e5-4c41-9190-6e6a65bfb4cc-2.png,mer-09-upypi-home.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mer-09-upypi-home.png
images/驱动模块应用实验汇总-e40cccdd-8fe0-4130-9717-9b4851493a85.png,mer-10-driver-search.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mer-10-driver-search.png
images/驱动模块应用实验汇总-f2fb94ad-2227-4ad8-a548-2785e42e9ade.png,mer-11-driver-install.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mer-11-driver-install.png
images/驱动模块应用实验汇总-image-20.png,mer-12-demo-output.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mer-12-demo-output.png
images/驱动模块应用实验汇总-default-3.png,mse-01-wiring.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mse-01-wiring.png
images/驱动模块应用实验汇总-7b9075aa-f6e5-4c41-9190-6e6a65bfb4cc-3.png,mse-02-upypi-home.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mse-02-upypi-home.png
images/驱动模块应用实验汇总-bf22461d-a771-42df-b850-db46b0cf8388.png,mse-03-driver-search.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mse-03-driver-search.png
images/驱动模块应用实验汇总-c84b2e07-bec6-4ff3-bb1d-da0a59c2e751.png,mse-04-driver-install.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mse-04-driver-install.png
images/驱动模块应用实验汇总-image-21.png,mse-05-demo-output.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mse-05-demo-output.png
images/pdfshots/MWFD水流气泡探测器产品手册-敏源202603-p1.png,mwfd-01-manual-cover.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-01-manual-cover.png
images/pdfshots/MWFD水流气泡探测器产品手册-敏源202603-p3.png,mwfd-02-pinout.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-02-pinout.png
images/pdfshots/MWFD水流气泡探测器产品手册-敏源202603-p2.png,mwfd-03-specs-1.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-03-specs-1.png
images/pdfshots/MWFD水流气泡探测器产品手册-敏源202603-p4.png,mwfd-04-specs-2.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-04-specs-2.png
images/驱动模块应用实验汇总-default-4.png,mwfd-05-wiring.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-05-wiring.png
images/驱动模块应用实验汇总-7b9075aa-f6e5-4c41-9190-6e6a65bfb4cc-4.png,mwfd-06-upypi-home.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-06-upypi-home.png
images/驱动模块应用实验汇总-87a028c5-2b2a-4d61-b3cf-03507f291c76.png,mwfd-07-driver-search.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-07-driver-search.png
images/驱动模块应用实验汇总-5de11cb8-ea34-4bb2-ad11-d1718ffbab41.png,mwfd-08-driver-install.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-08-driver-install.png
images/驱动模块应用实验汇总-image-22.png,mwfd-09-demo-output.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/mwfd-09-demo-output.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p3.png,ws61-01-manual-cover.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-01-manual-cover.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p4.png,ws61-02-pinout.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-02-pinout.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p2.png,ws61-03-specs.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-03-specs.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p5.png,ws61-04-protocol-1.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-04-protocol-1.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p6.png,ws61-05-protocol-2.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-05-protocol-2.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p7.png,ws61-06-registers-1.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-06-registers-1.png
images/pdfshots/WS61水浸传感器产品简介-敏源202506-2-p8.png,ws61-07-registers-2.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-07-registers-2.png
images/驱动模块应用实验汇总-default-5.png,ws61-08-wiring.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-08-wiring.png
images/驱动模块应用实验汇总-7b9075aa-f6e5-4c41-9190-6e6a65bfb4cc-5.png,ws61-09-upypi-home.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-09-upypi-home.png
images/驱动模块应用实验汇总-0c4af7d2-db31-4829-8c15-a0f73c4e5d84.png,ws61-10-driver-search.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-10-driver-search.png
images/驱动模块应用实验汇总-9ad0605b-4376-4a6c-98ab-61fff3670cf9.png,ws61-11-driver-install.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-11-driver-install.png
images/驱动模块应用实验汇总-image-23.png,ws61-12-demo-output-1.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-12-demo-output-1.png
images/驱动模块应用实验汇总-image-24.png,ws61-13-demo-output-2.png,https://cdn.jsdelivr.net/gh/hogeiha/GitCDN@main/minyuan/ws61-13-demo-output-2.png
